tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0120616	movie	The Mummy	The Mummy	0	1999	\N	124	Action,Adventure,Fantasy
tt0120620	movie	Brokedown Palace	Brokedown Palace	0	1999	\N	100	Drama,Mystery,Thriller
tt0120623	movie	A Bug's Life	A Bug's Life	0	1998	\N	95	Adventure,Animation,Comedy
tt0120626	movie	April Captains	Capitães de Abril	0	2000	\N	123	Drama,History,War
tt0120630	movie	Chicken Run	Chicken Run	0	2000	\N	84	Adventure,Animation,Comedy
tt0120631	movie	Ever After: A Cinderella Story	Ever After: A Cinderella Story	0	1998	\N	121	Drama,Romance
tt0120632	movie	City of Angels	City of Angels	0	1998	\N	114	Drama,Fantasy,Romance
tt0120633	movie	A Civil Action	A Civil Action	0	1998	\N	115	Biography,Drama
tt0120645	movie	Meet the Deedles	Meet the Deedles	0	1998	\N	93	Comedy,Family,Sport
tt0120646	movie	The Deep End of the Ocean	The Deep End of the Ocean	0	1999	\N	106	Drama
tt0120647	movie	Deep Impact	Deep Impact	0	1998	\N	120	Action,Drama,Sci-Fi
tt0120654	movie	Dirty Work	Dirty Work	0	1998	\N	82	Comedy
tt0120655	movie	Dogma	Dogma	0	1999	\N	130	Adventure,Comedy,Drama
tt0120657	movie	The 13th Warrior	The 13th Warrior	0	1999	\N	102	Action,Adventure,History
tt0120660	movie	Enemy of the State	Enemy of the State	0	1998	\N	132	Action,Thriller
tt0120663	movie	Eyes Wide Shut	Eyes Wide Shut	0	1999	\N	159	Drama,Mystery,Thriller
tt0120667	movie	Fantastic Four	Fantastic Four	0	2005	\N	106	Action,Adventure,Fantasy
tt0120669	movie	Fear and Loathing in Las Vegas	Fear and Loathing in Las Vegas	0	1998	\N	118	Adventure,Comedy,Drama
tt0120679	movie	Frida	Frida	0	2002	\N	123	Biography,Drama,Romance
tt0120681	movie	From Hell	From Hell	0	2001	\N	122	Crime,Horror,Mystery
tt0120683	movie	Gloria	Gloria	0	1999	\N	108	Crime,Drama,Thriller
tt0120685	movie	Godzilla	Godzilla	0	1998	\N	139	Action,Sci-Fi,Thriller
tt0120686	movie	Stepmom	Stepmom	0	1998	\N	125	Comedy,Drama
tt0120689	movie	The Green Mile	The Green Mile	0	1999	\N	189	Crime,Drama,Fantasy
tt0120692	movie	Strike!	Strike!	0	1998	\N	97	Comedy
tt0120694	movie	Halloween H20: 20 Years Later	Halloween H20: 20 Years Later	0	1998	\N	86	Horror,Thriller
tt0120696	movie	Hard Rain	Hard Rain	0	1998	\N	97	Action,Crime,Drama
tt0120710	movie	In Dreams	In Dreams	0	1999	\N	100	Drama,Fantasy,Horror
tt0120714	movie	The Interview	The Interview	0	1998	\N	104	Crime,Drama,Thriller
tt0120723	movie	Kissing a Fool	Kissing a Fool	0	1998	\N	93	Comedy,Romance
tt0120724	movie	Knock Off	Knock Off	0	1998	\N	91	Action,Crime,Thriller
tt0120731	movie	The Legend of 1900	La leggenda del pianista sull'oceano	0	1998	\N	169	Drama,Music,Romance
tt0120733	movie	Lion of Oz	Lion of Oz	0	2000	\N	74	Animation,Family,Musical
tt0120735	movie	Lock, Stock and Two Smoking Barrels	Lock, Stock and Two Smoking Barrels	0	1998	\N	107	Comedy,Crime
tt0120737	movie	The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring	0	2001	\N	178	Adventure,Drama,Fantasy
tt0120738	movie	Lost in Space	Lost in Space	0	1998	\N	130	Action,Adventure,Sci-Fi
tt0120741	movie	Mafia!	Jane Austen's Mafia!	0	1998	\N	87	Comedy,Crime
tt0120744	movie	The Man in the Iron Mask	The Man in the Iron Mask	0	1998	\N	132	Action,Adventure,Drama
tt0120746	movie	The Mask of Zorro	The Mask of Zorro	0	1998	\N	136	Action,Adventure,Comedy
tt0120749	movie	Mercury Rising	Mercury Rising	0	1998	\N	111	Action,Crime,Drama
tt0120751	movie	Mighty Joe Young	Mighty Joe Young	0	1998	\N	114	Action,Adventure,Family
tt0120753	movie	The Million Dollar Hotel	The Million Dollar Hotel	0	2000	\N	122	Drama,Mystery,Thriller
tt0120755	movie	Mission: Impossible II	Mission: Impossible II	0	2000	\N	123	Action,Adventure,Thriller
tt0120762	movie	Mulan	Mulan	0	1998	\N	87	Adventure,Animation,Comedy
tt0120764	movie	My Favorite Martian	My Favorite Martian	0	1999	\N	94	Comedy,Family,Sci-Fi
tt0120766	movie	Isle of Darkness	Mørkets øy	0	1997	\N	83	Horror,Mystery,Thriller
tt0120768	movie	The Negotiator	The Negotiator	0	1998	\N	140	Action,Crime,Drama
