description
"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on."
An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.
"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
"After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond."
"A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers."
"A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks."
"When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them."
"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly."
"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences."
"Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over."
"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system."
"Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical."
"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection."
"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed."
Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.
The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.
A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.
"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter."
"Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a children’s book and a Kannada folk song."
"After receiving an anonymous tip about a bomb, a police commissioner must negotiate with the terrorist, who demands the release of four militants."
"When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition."
"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it."
A conscientious politician helps an elderly singer overcome the obstacles placed in his path a by a powerful bureaucracy.
An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.
"When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths."
"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
"When a man falls from his balcony, an investigator questions the victim’s family, determined to uncover a darker truth behind the alleged accident."
The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.
"When he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fiancée, snubs doctors and checks into a nursing home to die."
"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths."
A municipal clerk with literary ambitions stalks a loan recovery officer on whom he has decided to base his story's central character.
"After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit."
"After losing his seventh job in a row, a TV producer and sci-fi buff travels back in time to 1980, where his employment prospects improve."
"After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship."
"Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest."
"Due to family pressure, a corporate man reluctantly marries a woman from the village, but in their new home, she abruptly assumes a different persona."
"Sick of his parents’ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss."
"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings."
A family’s harmonious existence is interrupted when the young son begins showing symptoms of anxiety that seem linked to disturbing events at home.
"A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs."
A film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.
