tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes	plot
tt27868101	movie	Vadakkan	Vadakkan	0	2025.0	\N	112	Fantasy,Horror,Thriller	10.0	85.0	A paranormal investigator based in Helsinki ventures to Kerala to probe a series of mysterious deaths during a reality TV show shoot and confronts an unspeakable entity from a Dravidian cult practice, lurking on a mysterious island.
tt31512788	movie	Manadarasi	Manadarasi	0	2024.0	\N	\N	\N	10.0	10.0	N/A
